ensembl_transcript_id	chrom	start	end	gene_symbol
ENST00000000233	7	127591297	127591299	ARF5
ENST00000000412	12	8941818	8941820	M6PR
ENST00000000442	11	64315964	64315966	ESRRA
ENST00000001008	12	2803256	2803258	FKBP4
ENST00000001146	2	72132227	72132229	CYP26B1
ENST00000002125	2	37248348	37248350	NDUFAF7
ENST00000002165	6	143495707	143495709	FUCA2
ENST00000002501	16	90006335	90006337	DBNDD1
ENST00000002596	4	11399082	11399084	HS3ST1
ENST00000002829	3	50188113	50188115	SEMA3F
ENST00000003084	7	117667106	117667108	CFTR
ENST00000003100	7	92113665	92113667	CYP51A1
ENST00000003302	11	113799240	113799242	USP28
ENST00000003583	1	24358543	24358545	STPG1
ENST00000003912	1	24469183	24469185	NIPAL3
ENST00000004103	7	150804866	150804868	TMEM176A
ENST00000004982	19	35755522	35755524	HSPB6
ENST00000005082	11	3359118	3359120	ZNF195
ENST00000005178	7	95585641	95585643	PDK4
ENST00000005180	7	75769693	75769695	CCL26
ENST00000005226	11	17494332	17494334	USH1C
ENST00000005257	7	39706243	39706245	RALA
ENST00000005259	7	107618361	107618363	BCAP29
ENST00000005260	7	98293521	98293523	BAIAP2L1
ENST00000005284	16	24361861	24361863	CACNG3
ENST00000005286	11	60936905	60936907	TMEM132A
ENST00000005340	17	7225865	7225867	DVL2
ENST00000005386	12	47663505	47663507	RPAP3
ENST00000005558	7	112475517	112475519	IFRD1
ENST00000005558	7	112475517	112475519	IFRD1
ENST00000005558	7	112475517	112475519	IFRD1
ENST00000005756	2	158134888	158134890	UPP2
ENST00000005995	16	2821603	2821605	PRSS21
ENST00000006015	7	27182796	27182798	HOXA11
ENST00000006053	16	57383030	57383032	CX3CL1
ENST00000006251	22	44737245	44737247	PRR5
ENST00000006275	19	45163192	45163194	TRAPPC6A
ENST00000006658	17	50555660	50555662	SPATA20
ENST00000006724	19	41677412	41677414	CEACAM7
ENST00000006750	17	63929226	63929228	CD79B
ENST00000006777	7	75888347	75888349	RHBDD2
ENST00000007264	16	785950	785952	RPUSD1
ENST00000007390	16	1349437	1349439	TSR3
ENST00000007414	17	47808291	47808293	OSBPL7
ENST00000007510	19	35788427	35788429	ARHGAP33
ENST00000007516	16	23582284	23582286	NDUFAB1
ENST00000007699	17	7288788	7288790	YBX2
